surface_m2,nb_etages,annee_construction,occupation_h_j,altitude_m,type_batiment,isolation,vitrage,chauffage,orientation,conso_kwh_m2,conso_totale_kwh,label_dpe
311,2,1937,6,165,commercial,fort,double,pompe_chaleur,SO,57.0,17727,B
182,8,1975,19,208,residentiel,tres_fort,double,fioul,SO,60.9,11084,B
806,2,2005,21,72,bureau,faible,triple,elec,SE,58.6,47232,B
542,9,1999,23,98,residentiel,faible,double,gaz,S,107.6,58319,C
187,1,1968,18,264,residentiel,tres_fort,double,elec,S,58.0,10846,B
842,13,1944,11,127,bureau,faible,double,pompe_chaleur,NO,129.3,108871,C
311,1,2001,18,11,commercial,moyen,simple,gaz,N,83.3,25906,B
76,7,1966,10,364,industriel,moyen,double,bois,SO,69.1,5252,B
232,10,1944,21,38,residentiel,faible,double,gaz,SO,125.2,29046,C
769,6,1994,4,229,residentiel,faible,simple,fioul,SE,74.4,57214,B
138,4,2011,21,160,bureau,tres_fort,double,elec,SO,35.2,4858,A
233,4,2012,18,322,residentiel,tres_fort,triple,gaz,S,45.8,10671,A
94,12,2017,21,117,residentiel,tres_fort,double,elec,SO,46.7,4390,A
106,2,1986,8,117,bureau,moyen,double,elec,E,49.9,5289,A
136,10,1999,14,72,residentiel,moyen,double,fioul,N,61.5,8364,B
104,5,1945,9,91,bureau,moyen,double,elec,E,96.2,10005,C
159,1,1953,18,425,residentiel,moyen,simple,gaz,SE,123.2,19589,C
826,6,1935,16,216,commercial,faible,triple,fioul,SO,100.7,83178,C
239,2,1928,17,235,commercial,fort,triple,elec,NE,99.8,23852,C
424,11,2007,18,14,residentiel,tres_fort,simple,gaz,S,39.8,16875,A
525,11,1967,4,55,commercial,moyen,simple,fioul,NE,63.8,33495,B
113,4,1977,12,102,commercial,moyen,double,gaz,NE,94.4,10667,C
137,11,1929,9,60,residentiel,moyen,double,gaz,NE,88.1,12070,B
418,10,1939,22,53,residentiel,faible,double,elec,E,162.2,67800,D
157,10,1927,14,447,bureau,moyen,double,elec,S,98.0,15386,C
399,2,1970,7,118,residentiel,moyen,double,elec,E,69.6,27770,B
792,2,1980,11,22,residentiel,moyen,double,fioul,SO,54.8,43402,B
88,3,1933,14,42,residentiel,moyen,simple,gaz,O,133.1,11713,C
191,12,1993,10,12,commercial,fort,simple,bois,N,69.0,13179,B
213,5,1930,16,78,bureau,moyen,double,gaz,E,103.1,21960,C
169,8,2007,19,400,commercial,faible,triple,gaz,O,77.8,13148,B
160,7,2015,16,140,commercial,faible,double,gaz,NE,83.2,13312,B
173,14,1986,15,65,bureau,faible,double,gaz,NO,93.0,16089,C
242,3,1976,17,122,bureau,fort,triple,elec,O,75.9,18368,B
275,11,1996,9,180,residentiel,fort,double,fioul,S,42.8,11770,A
477,2,1945,16,84,residentiel,tres_fort,double,pompe_chaleur,O,60.0,28620,B
240,14,2015,5,112,bureau,fort,simple,pompe_chaleur,N,23.4,5616,A
535,8,2011,19,359,bureau,moyen,double,gaz,NE,57.8,30923,B
162,4,1992,11,313,bureau,faible,double,fioul,O,93.4,15131,C
106,6,2023,20,210,commercial,moyen,double,gaz,E,67.3,7134,B
198,11,1951,9,41,bureau,moyen,double,pompe_chaleur,NO,94.2,18652,C
338,6,2011,23,6,bureau,tres_fort,double,pompe_chaleur,SE,47.2,15954,A
447,1,1923,14,24,bureau,moyen,simple,gaz,E,110.5,49394,C
680,5,1997,22,2,residentiel,moyen,triple,elec,NE,68.2,46376,B
300,13,1950,9,37,residentiel,moyen,simple,fioul,NE,120.9,36270,C
415,6,2020,14,51,residentiel,faible,double,gaz,NE,59.1,24526,B
638,7,1978,18,19,residentiel,tres_fort,double,pompe_chaleur,O,58.6,37387,B
142,3,1940,18,66,residentiel,faible,simple,bois,S,131.6,18687,C
211,1,1952,9,64,commercial,faible,double,gaz,S,104.5,22050,C
1702,4,2011,12,108,residentiel,faible,simple,gaz,N,78.9,134288,B
446,13,2003,8,210,residentiel,fort,double,elec,N,48.1,21453,A
350,8,1957,17,364,residentiel,moyen,triple,pompe_chaleur,SE,76.2,26670,B
457,6,1947,12,48,residentiel,fort,double,elec,N,57.9,26460,B
96,8,1923,4,507,bureau,moyen,triple,elec,SE,67.0,6432,B
156,12,1932,9,230,bureau,faible,simple,gaz,SO,147.2,22963,C
120,13,1923,11,678,commercial,tres_fort,double,bois,S,50.8,6096,B
328,5,1954,15,193,bureau,faible,triple,fioul,O,96.3,31586,C
189,12,1939,22,60,residentiel,faible,triple,elec,E,135.4,25591,C
262,12,1922,23,117,commercial,fort,double,bois,O,95.5,25021,C
197,1,2001,17,95,residentiel,faible,double,pompe_chaleur,E,93.6,18439,C
78,13,2011,22,229,residentiel,faible,triple,bois,E,78.4,6115,B
455,4,2013,4,93,residentiel,fort,double,gaz,NO,21.2,9646,A
71,11,2007,21,70,commercial,moyen,double,gaz,O,71.5,5076,B
147,13,1933,14,221,bureau,moyen,simple,fioul,S,118.9,17478,C
97,9,1937,11,30,residentiel,moyen,simple,elec,O,129.9,12600,C
132,5,2007,11,52,bureau,fort,double,gaz,SO,34.5,4554,A
282,12,1921,10,116,residentiel,faible,double,pompe_chaleur,SO,135.6,38239,C
581,7,1998,20,281,bureau,faible,simple,elec,N,118.8,69023,C
82,11,1933,13,72,residentiel,fort,double,gaz,NE,93.0,7626,C
166,10,1925,6,296,residentiel,fort,double,gaz,SO,61.4,10192,B
72,5,2001,22,22,residentiel,tres_fort,double,elec,S,52.5,3780,B
160,8,1996,16,335,bureau,moyen,double,gaz,N,85.1,13616,B
257,3,1928,11,53,residentiel,faible,double,gaz,S,137.3,35286,C
419,1,1923,18,104,residentiel,moyen,simple,elec,E,144.3,60462,C
56,10,2011,11,256,residentiel,fort,triple,pompe_chaleur,SO,48.3,2705,A
360,3,1947,15,55,industriel,faible,double,elec,E,134.4,48384,C
124,8,2020,4,195,industriel,fort,simple,gaz,E,37.0,4588,A
104,2,1975,9,161,bureau,faible,double,pompe_chaleur,E,90.3,9391,C
257,10,2021,10,74,residentiel,fort,double,gaz,O,37.8,9715,A
380,3,2014,19,28,industriel,fort,double,gaz,SO,50.8,19304,B
228,4,1984,19,20,commercial,moyen,double,gaz,N,96.2,21934,C
114,3,1930,19,49,commercial,tres_fort,double,pompe_chaleur,O,76.0,8664,B
228,13,2013,13,174,residentiel,tres_fort,double,gaz,NE,43.5,9918,A
147,9,1956,11,242,residentiel,faible,simple,elec,N,124.9,18360,C
373,10,1946,14,70,residentiel,moyen,double,elec,N,109.4,40806,C
519,6,1979,9,272,industriel,fort,simple,pompe_chaleur,SO,51.1,26521,B
497,13,1957,14,327,bureau,faible,double,pompe_chaleur,E,117.7,58497,C
241,1,1996,17,98,residentiel,moyen,double,fioul,S,82.4,19858,B
537,6,1947,23,178,residentiel,moyen,double,pompe_chaleur,E,121.2,65084,C
120,2,2015,11,155,bureau,tres_fort,simple,gaz,N,32.4,3888,A
852,10,1930,6,681,residentiel,moyen,double,gaz,S,80.1,68245,B
119,14,1968,10,29,commercial,fort,double,gaz,N,59.2,7045,B
59,11,2019,20,48,commercial,moyen,double,gaz,NE,60.6,3575,B
636,3,2007,13,52,commercial,faible,double,gaz,O,62.9,40004,B
149,12,2005,12,111,residentiel,tres_fort,simple,gaz,E,38.2,5692,A
266,4,1984,13,22,bureau,faible,double,pompe_chaleur,SO,63.1,16785,B
119,5,1979,9,72,bureau,faible,double,pompe_chaleur,E,102.4,12186,C
1280,9,1941,20,381,bureau,moyen,double,gaz,N,120.1,153728,C
876,7,1950,17,147,residentiel,fort,simple,elec,N,104.7,91717,C
722,3,1980,23,2,residentiel,moyen,triple,gaz,NO,86.0,62092,B
260,8,1951,5,60,residentiel,faible,triple,elec,NE,84.9,22074,B
486,3,1952,18,339,bureau,moyen,triple,elec,E,98.6,47920,C
236,11,1990,5,129,residentiel,moyen,double,gaz,S,45.8,10809,A
537,2,1993,5,15,residentiel,faible,double,gaz,S,56.7,30448,B
184,12,1971,20,299,residentiel,moyen,simple,bois,O,104.6,19246,C
742,14,1949,10,9,bureau,faible,triple,elec,NO,102.8,76278,C
177,11,1938,10,80,residentiel,moyen,double,elec,NO,87.1,15417,B
192,9,1947,7,216,industriel,fort,simple,gaz,NO,65.2,12518,B
177,7,1954,6,171,bureau,fort,double,gaz,N,56.7,10036,B
280,8,2018,17,26,residentiel,moyen,triple,gaz,NE,59.7,16716,B
186,8,1953,14,233,bureau,moyen,triple,bois,SE,74.1,13783,B
344,13,2014,15,202,residentiel,moyen,double,gaz,S,82.8,28483,B
175,2,1975,7,134,industriel,tres_fort,double,gaz,NE,40.7,7123,A
426,9,1966,23,375,bureau,faible,double,bois,N,136.1,57979,C
708,8,1947,4,3,commercial,faible,triple,elec,SO,70.3,49772,B
258,4,1999,12,134,residentiel,moyen,double,gaz,NO,70.5,18189,B
1156,6,2007,14,210,bureau,faible,double,elec,NE,75.4,87162,B
539,7,2022,6,29,bureau,faible,double,elec,NE,53.7,28944,B
1093,1,2005,15,20,industriel,faible,triple,bois,NO,88.1,96293,B
234,7,1929,15,132,bureau,fort,simple,gaz,O,93.5,21879,C
76,3,2011,14,27,bureau,fort,double,pompe_chaleur,SO,32.4,2462,A
149,6,1983,11,244,residentiel,fort,simple,gaz,S,48.5,7226,A
160,4,1973,22,23,residentiel,fort,double,pompe_chaleur,SE,75.7,12112,B
126,11,1946,7,301,bureau,moyen,double,pompe_chaleur,SE,82.8,10433,B
53,14,1972,18,23,residentiel,tres_fort,simple,pompe_chaleur,SE,62.0,3286,B
501,2,2003,11,49,residentiel,fort,double,fioul,N,36.1,18086,A
67,4,1981,11,433,commercial,fort,simple,pompe_chaleur,O,87.4,5856,B
469,3,1930,8,214,commercial,fort,triple,gaz,NO,77.1,36160,B
1130,7,1998,17,210,residentiel,moyen,triple,gaz,NE,66.7,75371,B
142,6,2002,7,42,bureau,moyen,double,gaz,NO,39.0,5538,A
321,7,1989,11,156,residentiel,moyen,double,elec,NO,84.6,27157,B
185,1,1940,13,78,bureau,faible,simple,gaz,S,158.9,29396,D
437,13,1950,4,169,residentiel,moyen,triple,pompe_chaleur,SE,60.9,26613,B
106,14,1967,20,75,bureau,faible,double,pompe_chaleur,O,133.3,14130,C
223,13,2010,10,134,commercial,faible,simple,bois,SO,70.6,15744,B
536,7,2004,21,378,commercial,tres_fort,triple,elec,NE,45.0,24120,A
236,10,1929,16,29,residentiel,fort,simple,pompe_chaleur,NE,100.0,23600,C
78,1,1927,9,719,industriel,fort,double,pompe_chaleur,NE,63.9,4984,B
584,9,1925,17,295,residentiel,moyen,simple,bois,SE,115.6,67510,C
99,9,2016,12,30,residentiel,fort,double,pompe_chaleur,SO,45.6,4514,A
259,11,2009,13,156,bureau,tres_fort,simple,gaz,NE,48.7,12613,A
368,11,1942,20,20,residentiel,fort,simple,gaz,NE,85.0,31280,B
266,1,2015,16,1408,commercial,fort,double,bois,N,55.2,14683,B
1445,6,1972,23,58,commercial,moyen,triple,pompe_chaleur,N,72.9,105341,B
409,7,1952,22,45,residentiel,moyen,double,pompe_chaleur,NO,102.3,41841,C
212,7,1996,20,88,industriel,fort,double,pompe_chaleur,E,61.0,12932,B
373,8,1927,13,188,residentiel,tres_fort,double,pompe_chaleur,O,75.7,28236,B
283,10,1932,13,167,bureau,moyen,triple,pompe_chaleur,NO,86.5,24480,B
252,9,1946,21,6,residentiel,moyen,double,fioul,S,101.1,25477,C
290,4,1983,21,179,industriel,moyen,double,fioul,E,84.9,24621,B
181,10,2007,11,77,residentiel,moyen,triple,gaz,N,33.5,6064,A
284,9,1973,18,310,residentiel,tres_fort,double,gaz,SE,55.6,15790,B
172,3,1965,15,81,residentiel,fort,double,gaz,NE,75.8,13038,B
65,9,1980,6,13,industriel,moyen,triple,elec,S,51.3,3334,B
544,8,1921,6,74,commercial,moyen,double,pompe_chaleur,NE,105.0,57120,C
165,12,1988,5,72,commercial,moyen,double,pompe_chaleur,S,61.1,10082,B
270,6,2003,9,245,commercial,faible,double,elec,SE,91.8,24786,C
144,13,1963,22,86,commercial,moyen,triple,gaz,S,72.3,10411,B
147,8,1987,10,259,bureau,fort,triple,elec,E,50.1,7365,B
118,14,1951,22,44,residentiel,fort,double,pompe_chaleur,SO,86.4,10195,B
475,2,2017,12,15,commercial,faible,double,elec,NO,64.5,30638,B
563,2,1939,13,142,bureau,fort,double,gaz,NO,72.1,40592,B
249,4,1934,9,93,residentiel,fort,simple,gaz,NE,89.7,22335,B
168,12,2017,17,58,residentiel,moyen,simple,elec,NE,73.0,12264,B
75,8,1972,15,27,commercial,fort,simple,elec,S,60.4,4530,B
427,10,1961,10,50,residentiel,fort,simple,pompe_chaleur,E,55.2,23570,B
152,1,2004,19,379,industriel,fort,double,fioul,SO,53.4,8117,B
112,6,1949,18,437,residentiel,faible,simple,gaz,SO,142.3,15938,C
250,5,1950,18,163,residentiel,faible,simple,gaz,NO,157.9,39475,D
194,13,1925,12,20,commercial,moyen,double,gaz,SO,91.1,17673,C
85,2,1973,16,72,residentiel,faible,simple,gaz,SE,119.0,10115,C
93,13,1998,10,74,residentiel,moyen,simple,elec,O,53.0,4929,B
310,6,2022,23,320,bureau,fort,simple,gaz,NO,51.4,15934,B
155,11,1974,12,251,commercial,faible,double,gaz,SE,90.4,14012,C
350,5,1927,9,108,residentiel,moyen,double,pompe_chaleur,S,92.2,32270,C
271,1,1939,13,191,residentiel,tres_fort,double,gaz,SO,49.0,13279,A
509,10,1949,22,16,commercial,moyen,triple,pompe_chaleur,O,96.2,48966,C
137,3,2012,22,6,industriel,moyen,double,gaz,E,56.4,7727,B
288,3,1980,11,88,bureau,fort,double,gaz,O,56.2,16186,B
383,13,2017,21,29,residentiel,faible,triple,gaz,E,71.6,27423,B
158,4,2007,10,388,residentiel,faible,double,gaz,E,59.7,9433,B
539,14,2011,7,52,residentiel,fort,double,gaz,NE,41.4,22315,A
76,5,1949,8,8,residentiel,moyen,double,pompe_chaleur,SO,58.5,4446,B
137,4,1978,9,223,bureau,moyen,double,fioul,O,65.0,8905,B
74,7,1926,9,43,residentiel,faible,double,gaz,S,138.3,10234,C
146,4,1958,9,41,bureau,fort,simple,gaz,SE,45.4,6628,A
220,13,1952,11,52,bureau,faible,double,gaz,E,124.9,27478,C
438,9,1936,4,19,bureau,fort,simple,pompe_chaleur,NE,63.3,27725,B
219,11,1926,11,49,residentiel,moyen,double,gaz,E,97.6,21374,C
161,2,1959,14,239,commercial,fort,triple,gaz,S,72.2,11624,B
83,4,1927,12,119,commercial,moyen,double,fioul,E,98.6,8184,C
105,9,1983,13,8,commercial,faible,simple,fioul,E,127.2,13356,C
304,7,1948,8,136,residentiel,moyen,double,pompe_chaleur,SO,78.3,23803,B
454,14,1943,6,2,residentiel,fort,double,gaz,NO,63.6,28874,B
182,11,1931,22,122,industriel,faible,triple,gaz,NO,139.2,25334,C
571,5,1968,23,97,residentiel,moyen,double,gaz,N,105.6,60298,C
126,7,1937,12,7,residentiel,moyen,double,pompe_chaleur,N,100.3,12638,C
186,11,1979,19,152,bureau,moyen,double,pompe_chaleur,E,83.0,15438,B
197,6,2022,6,110,bureau,fort,double,gaz,SO,20.0,3940,A
714,8,1996,7,38,industriel,faible,double,fioul,N,61.2,43697,B
269,12,1932,14,212,residentiel,moyen,simple,elec,SE,129.7,34889,C
69,5,1929,18,373,industriel,faible,simple,pompe_chaleur,SE,184.9,12758,D
476,2,2011,18,94,residentiel,moyen,simple,gaz,E,76.1,36224,B
891,6,2010,10,34,bureau,moyen,double,gaz,N,36.9,32878,A
205,4,1957,21,150,bureau,moyen,triple,gaz,S,77.2,15826,B
131,8,1967,16,172,residentiel,moyen,double,pompe_chaleur,N,81.2,10637,B
448,12,1959,10,59,residentiel,tres_fort,double,gaz,SE,40.4,18099,A
968,11,1980,13,70,residentiel,moyen,triple,gaz,SE,52.1,50433,B
443,11,1941,9,311,industriel,fort,simple,pompe_chaleur,NO,87.6,38807,B
79,8,2017,6,258,bureau,moyen,simple,pompe_chaleur,N,54.1,4274,B
415,13,1962,4,129,industriel,moyen,triple,elec,SO,70.1,29091,B
325,13,1937,13,84,commercial,faible,triple,pompe_chaleur,NO,107.9,35068,C
125,11,1951,4,152,bureau,moyen,double,pompe_chaleur,SE,75.1,9388,B
603,2,2011,23,55,commercial,fort,simple,elec,O,78.3,47215,B
333,5,1950,21,332,residentiel,fort,triple,gaz,S,83.4,27772,B
614,14,2003,18,82,residentiel,fort,double,gaz,SE,43.3,26586,A
116,2,1999,19,70,commercial,fort,double,elec,N,68.1,7900,B
323,8,2023,16,234,commercial,faible,simple,gaz,S,75.1,24257,B
131,9,1935,18,37,residentiel,faible,double,elec,S,141.2,18497,C
291,6,1960,20,54,bureau,fort,triple,elec,N,72.7,21156,B
688,10,2007,14,11,bureau,faible,triple,gaz,NE,85.4,58755,B
90,2,1933,20,56,commercial,faible,double,pompe_chaleur,S,134.3,12087,C
94,4,1923,8,32,bureau,tres_fort,double,pompe_chaleur,SO,43.1,4051,A
478,5,1921,21,13,residentiel,tres_fort,double,elec,SO,66.5,31787,B
242,3,1928,18,34,residentiel,fort,double,fioul,S,82.5,19965,B
556,7,2002,6,43,residentiel,moyen,double,gaz,SE,50.3,27967,B
139,7,1956,7,18,bureau,fort,simple,gaz,N,65.8,9146,B
254,14,1934,6,2,commercial,moyen,simple,gaz,E,116.2,29515,C
396,7,1993,8,62,bureau,moyen,double,elec,NO,61.0,24156,B
283,11,1951,19,455,residentiel,moyen,simple,gaz,S,112.4,31809,C
70,2,1934,20,54,residentiel,tres_fort,simple,fioul,N,69.3,4851,B
1765,1,2022,23,134,commercial,tres_fort,triple,gaz,S,65.7,115960,B
284,6,1980,6,4,commercial,fort,double,elec,NO,49.1,13944,A
96,5,1965,15,6,residentiel,faible,simple,elec,S,142.8,13709,C
305,13,2015,20,55,residentiel,moyen,double,gaz,S,57.2,17446,B
330,7,1944,23,246,bureau,moyen,double,pompe_chaleur,S,117.5,38775,C
491,7,1981,5,53,residentiel,tres_fort,double,pompe_chaleur,SO,25.8,12668,A
468,12,1998,17,66,commercial,faible,double,pompe_chaleur,SO,104.5,48906,C
211,13,1920,5,553,residentiel,faible,double,elec,SE,142.3,30025,C
73,11,1948,5,96,residentiel,fort,simple,elec,N,79.8,5825,B
338,7,1929,20,441,industriel,moyen,double,elec,E,111.5,37687,C
78,4,1975,22,83,residentiel,fort,simple,pompe_chaleur,SO,100.5,7839,C
573,1,1990,7,361,residentiel,faible,double,gaz,NE,103.1,59076,C
147,1,1936,20,79,residentiel,fort,simple,elec,N,98.2,14435,C
382,12,1934,22,31,residentiel,faible,simple,gaz,S,169.6,64787,D
155,2,1967,14,131,residentiel,faible,simple,pompe_chaleur,SE,132.8,20584,C
173,6,1961,7,413,residentiel,moyen,triple,gaz,SO,41.4,7162,A
140,8,1931,18,194,residentiel,moyen,simple,bois,O,140.5,19670,C
404,8,1990,14,125,residentiel,fort,double,gaz,S,64.6,26098,B
158,2,2000,11,66,bureau,faible,simple,gaz,N,86.1,13604,B
419,8,1964,21,29,bureau,faible,double,gaz,S,98.0,41062,C
161,4,1957,16,411,residentiel,fort,double,gaz,SE,75.7,12188,B
208,5,1936,9,367,residentiel,moyen,triple,gaz,SE,64.1,13333,B
251,12,1953,12,141,bureau,fort,double,pompe_chaleur,E,55.2,13855,B
273,7,1972,10,122,commercial,fort,double,gaz,SO,58.6,15998,B
128,6,2023,14,103,commercial,faible,double,gaz,SO,74.6,9549,B
400,1,1939,9,562,residentiel,fort,simple,gaz,SO,77.2,30880,B
202,14,2006,16,229,residentiel,moyen,triple,gaz,SE,66.9,13514,B
358,9,1972,12,277,residentiel,moyen,triple,fioul,NE,75.7,27101,B
242,11,1977,5,561,residentiel,faible,double,gaz,SO,71.8,17376,B
369,7,1951,4,5,bureau,fort,double,pompe_chaleur,NO,52.4,19336,B
183,4,2018,5,424,residentiel,fort,simple,elec,SE,44.9,8217,A
141,4,1926,7,320,residentiel,moyen,double,elec,O,92.5,13042,C
330,1,1941,5,54,residentiel,tres_fort,double,pompe_chaleur,S,50.8,16764,B
173,13,1952,17,11,bureau,moyen,triple,gaz,NE,80.9,13996,B
679,8,1979,15,457,residentiel,tres_fort,double,fioul,O,63.1,42845,B
257,5,1964,4,94,commercial,fort,double,elec,E,57.4,14752,B
94,10,2016,12,23,residentiel,tres_fort,double,gaz,NO,35.9,3375,A
162,2,1939,9,23,industriel,tres_fort,simple,fioul,NE,69.4,11243,B
122,7,1979,14,70,residentiel,tres_fort,double,gaz,E,30.7,3745,A
519,7,1970,15,362,commercial,faible,double,bois,S,96.0,49824,C
421,13,1952,14,4,industriel,fort,double,fioul,NE,69.5,29260,B
234,12,1922,11,450,industriel,fort,triple,gaz,E,83.0,19422,B
300,11,2004,4,50,commercial,fort,simple,gaz,S,22.9,6870,A
230,4,1940,19,165,commercial,moyen,simple,pompe_chaleur,S,119.0,27370,C
447,8,1934,19,84,bureau,tres_fort,simple,gaz,NO,84.3,37682,B
352,14,1979,21,101,commercial,moyen,simple,pompe_chaleur,O,103.8,36538,C
399,1,1935,18,145,residentiel,moyen,double,gaz,E,109.6,43730,C
214,10,1986,10,286,bureau,moyen,triple,gaz,N,53.3,11406,B
157,5,1996,17,96,bureau,faible,double,elec,N,90.7,14240,C
390,11,1943,22,69,commercial,fort,double,pompe_chaleur,NO,101.2,39468,C
725,7,1927,4,336,bureau,faible,double,pompe_chaleur,SO,115.9,84028,C
531,10,1930,14,498,residentiel,fort,double,elec,E,63.8,33878,B
740,4,1925,17,207,bureau,fort,triple,gaz,SE,78.5,58090,B
274,13,1970,23,244,residentiel,moyen,double,elec,NE,114.8,31455,C
124,12,1959,14,91,residentiel,fort,double,gaz,E,61.3,7601,B
132,9,2000,21,12,bureau,faible,triple,gaz,NE,98.0,12936,C
643,6,1961,19,4,residentiel,fort,double,gaz,S,78.9,50733,B
66,3,1987,19,288,residentiel,tres_fort,simple,elec,E,52.8,3485,B
702,3,1968,5,24,residentiel,faible,double,gaz,NO,88.2,61916,B
141,6,1964,14,172,residentiel,fort,double,gaz,SE,57.5,8108,B
940,11,1997,18,1,residentiel,moyen,double,pompe_chaleur,S,71.6,67304,B
233,14,1972,6,12,residentiel,moyen,triple,gaz,SO,50.7,11813,B
406,9,1979,23,86,bureau,fort,double,bois,NE,89.8,36459,B
1299,14,1966,17,326,residentiel,moyen,double,gaz,S,95.7,124314,C
194,3,1994,21,124,industriel,fort,triple,gaz,SE,42.6,8264,A
192,11,1951,16,361,industriel,moyen,double,fioul,SO,80.0,15360,B
150,8,1925,21,171,bureau,moyen,double,elec,E,127.4,19110,C
121,2,1964,22,0,residentiel,tres_fort,simple,pompe_chaleur,N,70.5,8530,B
194,10,1952,5,219,bureau,faible,double,elec,E,107.3,20816,C
166,13,2013,22,9,commercial,fort,double,gaz,SE,63.4,10524,B
102,7,2020,14,528,bureau,faible,simple,pompe_chaleur,N,88.4,9017,B
211,4,1942,13,243,commercial,fort,double,elec,E,65.3,13778,B
335,5,1964,8,228,bureau,fort,simple,elec,E,47.1,15778,A
131,9,1964,12,96,bureau,moyen,simple,gaz,N,95.3,12484,C
218,10,1943,14,264,residentiel,moyen,double,gaz,NE,91.5,19947,C
655,4,1921,14,50,commercial,moyen,double,gaz,SE,106.7,69888,C
91,10,2023,18,352,residentiel,tres_fort,double,pompe_chaleur,S,42.0,3822,A
946,11,1987,17,3,bureau,moyen,double,gaz,SO,64.1,60639,B
153,1,1962,18,212,commercial,moyen,double,bois,SO,111.4,17044,C
282,6,1939,15,195,residentiel,fort,simple,gaz,SE,87.7,24731,B
599,4,1969,23,734,bureau,moyen,double,elec,NO,97.1,58163,C
742,12,1948,21,136,residentiel,moyen,simple,gaz,O,123.4,91563,C
340,10,1943,23,31,commercial,moyen,double,pompe_chaleur,S,113.9,38726,C
150,8,2019,18,14,residentiel,faible,double,pompe_chaleur,SO,64.5,9675,B
141,4,1988,8,89,industriel,fort,double,elec,NE,73.4,10349,B
164,7,1952,23,278,residentiel,tres_fort,double,gaz,O,60.7,9955,B
918,14,1941,22,28,industriel,tres_fort,triple,pompe_chaleur,O,54.1,49664,B
187,14,1999,9,142,commercial,tres_fort,simple,gaz,S,21.7,4058,A
307,3,1983,21,262,bureau,moyen,triple,elec,O,79.1,24284,B
118,7,2008,14,26,commercial,moyen,triple,pompe_chaleur,SE,54.6,6443,B
109,11,1998,18,4,commercial,fort,double,gaz,NE,59.1,6442,B
249,5,1961,10,245,industriel,tres_fort,simple,pompe_chaleur,O,62.6,15587,B
195,14,1987,9,36,residentiel,fort,simple,pompe_chaleur,N,63.5,12382,B
205,7,1959,12,280,bureau,moyen,triple,gaz,O,71.3,14616,B
87,5,1929,7,117,residentiel,fort,simple,gaz,S,82.9,7212,B
232,14,1923,6,122,bureau,fort,triple,elec,O,59.0,13688,B
724,9,1928,12,78,residentiel,tres_fort,double,pompe_chaleur,S,54.0,39096,B
135,1,2015,22,98,bureau,fort,double,elec,SO,52.6,7101,B
459,2,2007,4,25,bureau,moyen,double,elec,S,43.4,19921,A
30,14,1960,10,71,bureau,moyen,simple,gaz,N,107.8,3234,C
140,9,2014,9,68,bureau,moyen,double,gaz,NO,38.9,5446,A
64,13,1996,8,498,commercial,moyen,triple,gaz,E,48.0,3072,A
581,14,1934,5,125,commercial,tres_fort,simple,gaz,SO,54.4,31606,B
453,11,1943,7,21,bureau,moyen,triple,gaz,O,90.0,40770,B
119,14,1959,14,18,bureau,moyen,triple,gaz,NO,81.3,9675,B
300,14,2003,12,94,industriel,moyen,simple,elec,SE,56.9,17070,B
567,6,1988,16,5,residentiel,fort,double,elec,SO,48.7,27613,A
633,9,1960,21,63,residentiel,moyen,simple,gaz,SE,118.6,75074,C
184,12,2006,6,24,residentiel,faible,double,elec,NE,63.4,11666,B
